,RAh,RAm,RAs,DECsign,DECd,DECm,DECs,Catalog,Type,RA/deg,DEC/deg
9380,13.0,36.0,5.49720000000292,+,0.0,47.0,26.59199999999984,MiraBest,FRI,204.022905,0.79072
9381,13.0,43.0,46.37999999999892,+,0.0,58.0,45.01199999999997,MiraBest,FRII,205.94325,0.97917
9382,13.0,56.0,45.89520000000192,-,1.0,11.0,46.60800000000009,MiraBest,FRII,209.19123,-1.19628
9383,14.0,14.0,56.59079999999989,+,0.0,12.0,23.004,MiraBest,FRI,213.735795,0.20639
9384,14.0,15.0,28.70640000000293,+,1.0,5.0,47.400000000000105,MiraBest,FRII,213.86961,1.0965
9386,14.0,38.0,26.105999999999057,-,1.0,0.0,1.0439999999996452,MiraBest,FRI,219.608775,-1.00029
9387,14.0,39.0,19.0007999999969,+,0.0,38.0,18.996000000000063,MiraBest,FRI,219.82916999999995,0.63861
9388,14.0,38.0,48.38999999999956,+,0.0,40.0,56.64000000000016,MiraBest,FRI,219.701625,0.6824
9389,14.0,50.0,19.18680000000137,-,1.0,6.0,47.48399999999965,MiraBest,FRII,222.579945,-1.11319
9390,14.0,47.0,24.04320000000297,-,0.0,24.0,10.97999999999999,MiraBest,FRI,221.85018,-0.40305
9391,15.0,16.0,24.27600000000055,-,0.0,49.0,48.108,MiraBest,FRII,229.10115,-0.8300299999999999
9392,15.0,14.0,23.258399999999423,+,1.0,11.0,30.76800000000013,MiraBest,FRI,228.59691,1.19188
9393,15.0,16.0,40.22040000000061,+,0.0,15.0,1.8359999999999843,MiraBest,FRII,229.167585,0.25051
9394,15.0,26.0,42.05040000000167,+,0.0,53.0,28.89600000000001,MiraBest,FRI,231.67521,0.8913599999999999
9395,15.0,35.0,48.66720000000058,-,0.0,31.0,52.68000000000001,MiraBest,FRII,233.95278,-0.5313000000000001
9396,11.0,50.0,50.9892000000022,-,3.0,11.0,13.09200000000029,MiraBest,FRII,177.71245499999998,-3.18697
9397,11.0,59.0,54.43079999999853,-,1.0,21.0,8.280000000000314,MiraBest,FRII,179.97679499999998,-1.3523000000000005
9398,12.0,2.0,42.39599999999754,-,1.0,23.0,45.85199999999972,MiraBest,FRII,180.67665,-1.39607
9399,12.0,2.0,3.3863999999996963,-,1.0,25.0,46.163999999999845,MiraBest,FRII,180.51411,-1.42949
9400,12.0,9.0,6.800400000002185,-,2.0,57.0,45.07200000000026,MiraBest,FRII,182.278335,-2.96252
9401,12.0,52.0,30.694799999998,-,1.0,20.0,17.087999999999823,MiraBest,FRII,193.127895,-1.33808
9402,13.0,1.0,7.539599999998501,-,3.0,26.0,52.65600000000049,MiraBest,FRII,195.281415,-3.4479600000000006
9403,13.0,14.0,34.458000000001334,-,1.0,43.0,39.43199999999976,MiraBest,FRII,198.643575,-1.7276200000000002
9404,16.0,3.0,51.47639999999399,+,0.0,6.0,48.744000000000014,MiraBest,FRII,240.964485,0.11354
9407,17.0,12.0,23.17320000000393,+,64.0,1.0,57.07200000001876,MiraBest,FRI,258.096555,64.03252
9408,17.0,10.0,6.6143999999951575,+,61.0,31.0,7.607999999998469,MiraBest,FRI,257.52755999999994,61.51878
9409,17.0,13.0,29.10719999999543,+,64.0,2.0,48.69599999998286,MiraBest,FRII,258.37128,64.04686
9410,17.0,11.0,37.96800000000019,+,58.0,3.0,30.16799999999876,MiraBest,FRI,257.9082,58.05838
9411,17.0,27.0,49.69439999999878,+,53.0,46.0,51.5999999999957,MiraBest,FRII,261.95706,53.781
9412,17.0,29.0,21.18839999999465,+,54.0,15.0,25.991999999988025,MiraBest,FRI,262.3382849999999,54.25722
9414,17.0,20.0,28.30920000000389,+,59.0,13.0,41.7720000000071,MiraBest,FRII,260.117955,59.22827
9415,22.0,2.0,4.862399999994977,-,1.0,1.0,1.3800000000000343,MiraBest,FRI,330.52025999999995,-1.01705
9416,21.0,57.0,31.449599999993723,+,0.0,37.0,57.072,MiraBest,FRII,329.3810399999999,0.6325200000000001
9418,22.0,24.0,21.167999999999267,-,0.0,31.0,20.06400000000013,MiraBest,FRII,336.0882,-0.52224
9419,22.0,37.0,6.636000000002014,-,0.0,2.0,32.74800000000002,MiraBest,FRII,339.27765,-0.04243
9421,23.0,3.0,26.13960000000162,-,0.0,21.0,37.79999999999994,MiraBest,FRI,345.858915,-0.3605
9422,23.0,15.0,42.09839999999474,-,0.0,26.0,6.900000000000119,MiraBest,FRII,348.92540999999994,-0.43525
9423,23.0,37.0,45.76800000000418,-,0.0,42.0,11.051999999999822,MiraBest,FRI,354.4407,-0.7030699999999999
