Distance,Source1,Source2,Status
0.0186604555176354,1791,4869,same
0.0186607686794169,3207,4869,same
0.0186741055614122,4869,8577,same
0.0190835838065192,9709,12702,same
0.019107098952175,5474,12702,same
0.0191383579616211,8322,12702,same
0.0192304021357078,4699,12702,same
0.019250973832292,6790,12702,same
0.0194209971335882,16072,16075,diff
0.0196475626218164,7839,15289,same
0.019856866492033,1791,15289,same
0.0198571825556785,3207,15289,same
0.0198709606733773,8577,15289,same
0.0200540960883828,1519,7475,same
0.0201600320910462,466,1519,same
0.0201739885881468,6913,9916,same
0.0203002173112598,5221,9916,same
0.0203072906310693,5571,9916,same
0.0203077230753659,2437,9916,same
0.020350536773867,9077,9916,same
0.0206643110554993,7267,10073,same
0.0211560026002854,5243,10073,same
0.0211620953933082,3405,10073,same
0.0217711635313292,4626,7097,same
0.0219371141275183,2878,4626,same
0.0219374015473983,1191,4626,same
0.0237342485923151,16024,16025,diff
0.0241220623720891,14231,14235,diff
0.0243441545248274,9946,14340,diff
0.025073030327085,7641,14119,diff
0.0251129827020766,9691,14119,diff
0.025143952438553,2456,9089,same
0.0251440264585834,3383,9089,same
0.0251530380884557,2456,5575,same
0.0251530898064507,2454,2456,same
0.0251531123390322,3383,5575,same
0.0251531640619614,2454,3383,same
0.0251663248251559,2456,10228,same
0.0251663989413148,3383,10228,same
0.025181161339898,14340,14343,same
0.0254751421371747,2456,6738,same
0.025475216842495,3383,6738,same
0.0256774369344142,17350,17353,diff
0.0261440169469792,7127,7317,same
0.0262630035855711,961,7127,same
0.0262631204740865,4531,7127,same
0.0262631204740984,2846,7127,same
0.0264895414736495,5652,7317,same
0.0264964673891555,7317,9876,same
0.0266103752986741,961,5652,same
0.0266104906617847,4531,5652,same
0.0266104906617964,2846,5652,same
0.0266168178778904,961,9876,same
0.0266169336540756,4531,9876,same
0.0266169336540874,2846,9876,same
0.0266801894274502,13356,13358,diff
0.0280514865094885,17156,17158,diff
0.0287082283264708,7532,9727,same
0.0287860245362776,4517,9727,same
0.0287883287849543,3085,9727,same
0.0288304861315712,8054,9727,same
0.0289035426625783,16151,16155,diff
0.029156254479801,9752,13196,diff
0.0297608245318293,917,7532,same
0.0298677320382699,917,4517,same
0.0298699268039894,917,3085,same
0.0299140075709358,917,8054,same
0.0302607837417224,13189,13196,diff
0.0306702074387078,6315,14141,diff
0.0308955580844837,3722,14141,diff
0.0309772222833226,17839,17842,diff
0.0312588301007164,1603,6315,diff
0.031478389751468,1603,3722,diff
0.032581023673174,15561,15568,diff
0.0326691596616188,4589,7528,same
0.0328286163302028,16147,16150,diff
0.0330336529884524,2865,4589,same
0.0330338295031397,1119,4589,same
0.0344228738978749,15385,15392,diff
0.0348574399401235,13781,13788,diff
0.0351033746517129,16153,16155,diff
0.0351801687481988,9798,16520,same
0.0365994831138031,14623,14632,diff
0.0377798860409817,7364,10299,same
0.0378199150189523,5688,7364,same
0.0378204763825706,4782,10299,same
0.0378221788465556,2921,10299,same
0.0378605605647197,4782,5688,same
0.03786226299691,2921,5688,same
0.0380974869965936,7343,7364,same
0.0381371741728771,4782,7343,same
0.0381388772088856,2921,7343,diff
0.0384944643167302,2929,7021,diff
0.0385164871909235,17110,17112,diff
0.0385267855081922,17816,17824,diff
0.0385422538303138,2929,6315,diff
0.0386455576663761,7021,7131,diff
0.0387188903295201,2929,3722,diff
0.0387472274586501,6315,7131,diff
0.0388061614853674,2929,8463,diff
0.0388274006770772,543,2929,diff
0.0388275348724443,1601,2929,diff
0.0389242764300383,3722,7131,diff
0.0389580162965443,7131,8463,diff
0.0389792063758162,543,7131,diff
0.0389793399755137,1601,7131,diff
0.0397440378512966,10010,15597,diff
0.039854394873135,6823,9747,diff
0.0399740891041753,9747,9748,diff
0.0401414289639711,7123,15597,diff
0.0402889839052952,6823,7506,diff
0.0404087227087843,7506,9748,diff
0.040660369055328,10621,10622,diff
0.0409336456869514,13641,13646,diff
0.0409766500587277,6816,10621,diff
0.0416036410761257,17349,17353,diff
0.0425693367842217,16481,16492,diff
0.0432734816806895,2929,4799,diff
